Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_7_22,VPWR,li1,17.0200,29.9200,1.799955
FILLER_7_10,VPWR,li1,12.8800,29.9200,1.799952
FILLER_6_40,VPWR,li1,24.1500,29.9200,1.799955
FILLER_6_29,VPWR,li1,19.5500,29.9200,1.799957
FILLER_6_27,VPWR,li1,18.1700,29.9200,1.799957
FILLER_5_3,VPWR,li1,7.3600,24.4800,1.799950
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.799952
FILLER_4_23,VPWR,li1,16.3300,24.4800,1.799951
FILLER_4_16,VPWR,li1,13.1100,24.4800,1.799951
FILLER_4_3,VPWR,li1,7.1300,24.4800,1.799950
FILLER_3_3,VPWR,li1,7.1300,19.0400,1.799951
FILLER_2_18,VPWR,li1,14.2600,19.0400,1.799952
FILLER_1_16,VPWR,li1,13.1100,13.6000,1.799979
FILLER_1_3,VPWR,li1,7.5900,13.6000,1.799978
FILLER_0_29,VPWR,li1,21.6200,13.6000,1.799982
FILLER_0_27,VPWR,li1,18.1700,13.6000,1.799980
FILLER_0_15,VPWR,li1,15.1800,13.6000,1.799979
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.799978
hold4,VPWR,li1,16.1000,29.9200,1.799955
hold3,VPWR,li1,9.6600,24.4800,1.799950
hold2,VPWR,li1,17.0200,19.0400,1.799954
hold1,VPWR,li1,26.2200,29.9200,1.799954
clkbuf_1_1__f_clk,VPWR,li1,23.4600,29.9200,1.799955
clkbuf_1_0__f_clk,VPWR,li1,23.4600,19.0400,1.799957
clkbuf_0_clk,VPWR,li1,23.4600,24.4800,1.799954
output7,VPWR,li1,7.8200,29.9200,1.799947
output6,VPWR,li1,25.3000,13.6000,1.799978
output5,VPWR,li1,27.1400,13.6000,1.799977
output4,VPWR,li1,27.1400,19.0400,1.799956
input3,VPWR,li1,8.9700,19.0400,1.799951
input2,VPWR,li1,9.4300,29.9200,1.799948
input1,VPWR,li1,7.5900,19.0400,1.799951
TAP_TAPCELL_ROW_7_20,VPWR,li1,18.6300,30.2260,1.799957
TAP_TAPCELL_ROW_6_19,VPWR,li1,18.6300,29.6130,1.799957
TAP_TAPCELL_ROW_4_18,VPWR,li1,18.6300,24.1730,1.799952
TAP_TAPCELL_ROW_2_17,VPWR,li1,18.6300,18.7330,1.799954
TAP_TAPCELL_ROW_0_16,VPWR,li1,18.6300,13.2930,1.799980
PHY_EDGE_ROW_7_Left_15,VPWR,li1,6.2100,29.9200,1.799947
PHY_EDGE_ROW_6_Left_14,VPWR,li1,6.2100,29.9200,1.799947
PHY_EDGE_ROW_5_Left_13,VPWR,li1,6.2100,24.4800,1.799950
PHY_EDGE_ROW_4_Left_12,VPWR,li1,6.2100,24.4800,1.799950
PHY_EDGE_ROW_3_Left_11,VPWR,li1,6.2100,19.0400,1.799951
PHY_EDGE_ROW_2_Left_10,VPWR,li1,6.2100,19.0400,1.799951
PHY_EDGE_ROW_1_Left_9,VPWR,li1,6.2100,13.6000,1.799978
PHY_EDGE_ROW_0_Left_8,VPWR,li1,6.2100,13.6000,1.799978
PHY_EDGE_ROW_7_Right_7,VPWR,li1,28.7500,29.9200,1.799954
PHY_EDGE_ROW_6_Right_6,VPWR,li1,28.7500,29.9200,1.799954
PHY_EDGE_ROW_5_Right_5,VPWR,li1,28.7500,24.4800,1.799952
PHY_EDGE_ROW_4_Right_4,VPWR,li1,28.7500,24.4800,1.799952
PHY_EDGE_ROW_3_Right_3,VPWR,li1,28.7500,19.0400,1.799956
PHY_EDGE_ROW_2_Right_2,VPWR,li1,28.7500,19.0400,1.799956
PHY_EDGE_ROW_1_Right_1,VPWR,li1,28.7500,13.6000,1.799977
PHY_EDGE_ROW_0_Right_0,VPWR,li1,28.7500,13.6000,1.799977
_49_,VPWR,li1,10.5800,29.9200,1.799948
_48_,VPWR,li1,24.3800,13.6000,1.799978
_47_,VPWR,li1,22.5400,19.0400,1.799957
_46_,VPWR,li1,24.3800,24.4800,1.799952
_45_,VPWR,li1,13.1100,24.4800,1.799951
_44_,VPWR,li1,8.5100,24.4800,1.799950
_43_,VPWR,li1,11.2700,24.4800,1.799950
_42_,VPWR,li1,12.6500,19.0400,1.799952
_41_,VPWR,li1,10.1200,19.0400,1.799952
_40_,VPWR,li1,15.6400,19.0400,1.799953
_39_,VPWR,li1,17.4800,19.0400,1.799954
_38_,VPWR,li1,16.3300,13.6000,1.799979
_37_,VPWR,li1,14.0300,13.6000,1.799979
_36_,VPWR,li1,10.5800,19.0400,1.799952
_35_,VPWR,li1,19.3200,13.6000,1.799980
_34_,VPWR,li1,16.3300,24.4800,1.799951
_33_,VPWR,li1,19.3200,24.4800,1.799953
_32_,VPWR,li1,14.4900,19.0400,1.799953
_31_,VPWR,li1,12.1900,13.6000,1.799979
_30_,VPWR,li1,12.6500,19.0400,1.799952
_29_,VPWR,li1,9.8900,13.6000,1.799978
_28_,VPWR,li1,21.1600,29.9200,1.799960
_27_,VPWR,li1,23.0000,29.9200,1.799955
_26_,VPWR,li1,14.0300,24.4800,1.799951
_25_,VPWR,li1,8.0500,19.0400,1.799951
_24_,VPWR,li1,17.2500,24.4800,1.799952
_23_,VPWR,li1,15.4100,24.4800,1.799951
