Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_7_20,VGND,li1,16.5600,32.6400,0.000032
FILLER_7_16,VGND,li1,13.1100,32.6400,0.000034
FILLER_7_10,VGND,li1,11.5000,32.6400,0.000034
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000038
FILLER_5_3,VGND,li1,7.3600,27.2000,0.000045
FILLER_4_23,VGND,li1,16.3300,21.7600,0.000035
FILLER_3_18,VGND,li1,14.0300,21.7600,0.000036
FILLER_3_3,VGND,li1,7.1300,21.7600,0.000037
FILLER_2_22,VGND,li1,16.1000,16.3200,0.000021
FILLER_2_6,VGND,li1,9.2000,16.3200,0.000022
FILLER_1_46,VGND,li1,27.3700,16.3200,0.000015
FILLER_1_34,VGND,li1,22.0800,16.3200,0.000017
FILLER_1_13,VGND,li1,11.9600,16.3200,0.000022
FILLER_1_3,VGND,li1,7.5900,16.3200,0.000022
FILLER_0_29,VGND,li1,21.6200,10.8800,0.000006
FILLER_0_25,VGND,li1,17.7100,10.8800,0.000007
FILLER_0_21,VGND,li1,15.4100,10.8800,0.000007
FILLER_0_15,VGND,li1,13.8000,10.8800,0.000007
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000007
hold4,VGND,li1,16.1000,27.2000,0.000040
hold3,VGND,li1,9.6600,27.2000,0.000045
hold2,VGND,li1,18.8600,27.2000,0.000038
hold1,VGND,li1,24.8400,16.3200,0.000015
clkbuf_1_1__f_clk,VGND,li1,23.4600,32.6400,0.000030
clkbuf_1_0__f_clk,VGND,li1,23.4600,21.7600,0.000032
clkbuf_0_clk,VGND,li1,23.4600,21.7600,0.000032
output7,VGND,li1,7.8200,32.6400,0.000035
output6,VGND,li1,25.3000,10.8800,0.000006
output5,VGND,li1,27.1400,27.2000,0.000030
output4,VGND,li1,27.1400,10.8800,0.000006
input3,VGND,li1,7.5900,16.3200,0.000022
input2,VGND,li1,9.4300,32.6400,0.000034
input1,VGND,li1,7.5900,21.7600,0.000037
TAP_TAPCELL_ROW_7_20,VGND,li1,18.6300,32.3480,0.000031
TAP_TAPCELL_ROW_6_19,VGND,li1,18.6300,27.4910,0.000038
TAP_TAPCELL_ROW_4_18,VGND,li1,18.6300,22.0510,0.000034
TAP_TAPCELL_ROW_2_17,VGND,li1,18.6300,16.6110,0.000019
TAP_TAPCELL_ROW_0_16,VGND,li1,18.6300,11.1710,0.000006
PHY_EDGE_ROW_7_Left_15,VGND,li1,6.2100,32.6400,0.000035
PHY_EDGE_ROW_6_Left_14,VGND,li1,6.2100,27.2000,0.000045
PHY_EDGE_ROW_5_Left_13,VGND,li1,6.2100,27.2000,0.000045
PHY_EDGE_ROW_4_Left_12,VGND,li1,6.2100,21.7600,0.000037
PHY_EDGE_ROW_3_Left_11,VGND,li1,6.2100,21.7600,0.000037
PHY_EDGE_ROW_2_Left_10,VGND,li1,6.2100,16.3200,0.000022
PHY_EDGE_ROW_1_Left_9,VGND,li1,6.2100,16.3200,0.000022
PHY_EDGE_ROW_0_Left_8,VGND,li1,6.2100,10.8800,0.000007
PHY_EDGE_ROW_7_Right_7,VGND,li1,28.7500,32.6400,0.000030
PHY_EDGE_ROW_6_Right_6,VGND,li1,28.7500,27.2000,0.000030
PHY_EDGE_ROW_5_Right_5,VGND,li1,28.7500,27.2000,0.000030
PHY_EDGE_ROW_4_Right_4,VGND,li1,28.7500,21.7600,0.000032
PHY_EDGE_ROW_3_Right_3,VGND,li1,28.7500,21.7600,0.000032
PHY_EDGE_ROW_2_Right_2,VGND,li1,28.7500,16.3200,0.000015
PHY_EDGE_ROW_1_Right_1,VGND,li1,28.7500,16.3200,0.000015
PHY_EDGE_ROW_0_Right_0,VGND,li1,28.7500,10.8800,0.000006
_49_,VGND,li1,10.5800,27.2000,0.000045
_48_,VGND,li1,24.3800,16.3200,0.000015
_47_,VGND,li1,22.5400,27.2000,0.000033
_46_,VGND,li1,24.3800,27.2000,0.000029
_45_,VGND,li1,11.2700,21.7600,0.000037
_44_,VGND,li1,12.6500,27.2000,0.000042
_43_,VGND,li1,14.4900,21.7600,0.000036
_42_,VGND,li1,12.6500,21.7600,0.000036
_41_,VGND,li1,10.1200,21.7600,0.000037
_40_,VGND,li1,17.4800,16.3200,0.000020
_39_,VGND,li1,19.7800,16.3200,0.000019
_38_,VGND,li1,16.7900,16.3200,0.000020
_37_,VGND,li1,13.1100,16.3200,0.000022
_36_,VGND,li1,14.7200,16.3200,0.000021
_35_,VGND,li1,19.7800,16.3200,0.000019
_34_,VGND,li1,15.4100,27.2000,0.000040
_33_,VGND,li1,17.4800,21.7600,0.000035
_32_,VGND,li1,16.3300,10.8800,0.000007
_31_,VGND,li1,10.8100,16.3200,0.000022
_30_,VGND,li1,12.6500,16.3200,0.000022
_29_,VGND,li1,9.8900,16.3200,0.000022
_28_,VGND,li1,15.1800,21.7600,0.000036
_27_,VGND,li1,17.4800,21.7600,0.000035
_26_,VGND,li1,14.0300,32.6400,0.000033
_25_,VGND,li1,8.0500,21.7600,0.000037
_24_,VGND,li1,8.9700,21.7600,0.000037
_23_,VGND,li1,14.4900,16.3200,0.000021
