Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_7_20,VPWR,li1,16.5600,29.9200,1.799945
FILLER_7_16,VPWR,li1,13.1100,29.9200,1.799941
FILLER_7_10,VPWR,li1,11.5000,29.9200,1.799941
FILLER_6_27,VPWR,li1,18.1700,29.9200,1.799947
FILLER_5_3,VPWR,li1,7.3600,24.4800,1.799949
FILLER_4_23,VPWR,li1,16.3300,24.4800,1.799951
FILLER_3_18,VPWR,li1,14.0300,19.0400,1.799958
FILLER_3_3,VPWR,li1,7.1300,19.0400,1.799957
FILLER_2_22,VPWR,li1,16.1000,19.0400,1.799959
FILLER_2_6,VPWR,li1,9.2000,19.0400,1.799957
FILLER_1_46,VPWR,li1,27.3700,13.6000,1.799985
FILLER_1_34,VPWR,li1,22.0800,13.6000,1.799988
FILLER_1_13,VPWR,li1,11.9600,13.6000,1.799984
FILLER_1_3,VPWR,li1,7.5900,13.6000,1.799984
FILLER_0_29,VPWR,li1,21.6200,13.6000,1.799988
FILLER_0_25,VPWR,li1,17.7100,13.6000,1.799985
FILLER_0_21,VPWR,li1,15.4100,13.6000,1.799985
FILLER_0_15,VPWR,li1,13.8000,13.6000,1.799985
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.799984
hold4,VPWR,li1,16.1000,29.9200,1.799945
hold3,VPWR,li1,9.6600,24.4800,1.799949
hold2,VPWR,li1,18.8600,24.4800,1.799952
hold1,VPWR,li1,24.8400,13.6000,1.799986
clkbuf_1_1__f_clk,VPWR,li1,23.4600,29.9200,1.799951
clkbuf_1_0__f_clk,VPWR,li1,23.4600,19.0400,1.799961
clkbuf_0_clk,VPWR,li1,23.4600,24.4800,1.799954
output7,VPWR,li1,7.8200,29.9200,1.799938
output6,VPWR,li1,25.3000,13.6000,1.799986
output5,VPWR,li1,27.1400,29.9200,1.799950
output4,VPWR,li1,27.1400,13.6000,1.799985
input3,VPWR,li1,7.5900,19.0400,1.799957
input2,VPWR,li1,9.4300,29.9200,1.799939
input1,VPWR,li1,7.5900,24.4800,1.799949
TAP_TAPCELL_ROW_7_20,VPWR,li1,18.6300,30.2260,1.799947
TAP_TAPCELL_ROW_6_19,VPWR,li1,18.6300,29.6130,1.799947
TAP_TAPCELL_ROW_4_18,VPWR,li1,18.6300,24.1730,1.799952
TAP_TAPCELL_ROW_2_17,VPWR,li1,18.6300,18.7330,1.799959
TAP_TAPCELL_ROW_0_16,VPWR,li1,18.6300,13.2930,1.799986
PHY_EDGE_ROW_7_Left_15,VPWR,li1,6.2100,29.9200,1.799938
PHY_EDGE_ROW_6_Left_14,VPWR,li1,6.2100,29.9200,1.799938
PHY_EDGE_ROW_5_Left_13,VPWR,li1,6.2100,24.4800,1.799949
PHY_EDGE_ROW_4_Left_12,VPWR,li1,6.2100,24.4800,1.799949
PHY_EDGE_ROW_3_Left_11,VPWR,li1,6.2100,19.0400,1.799957
PHY_EDGE_ROW_2_Left_10,VPWR,li1,6.2100,19.0400,1.799957
PHY_EDGE_ROW_1_Left_9,VPWR,li1,6.2100,13.6000,1.799984
PHY_EDGE_ROW_0_Left_8,VPWR,li1,6.2100,13.6000,1.799984
PHY_EDGE_ROW_7_Right_7,VPWR,li1,28.7500,29.9200,1.799950
PHY_EDGE_ROW_6_Right_6,VPWR,li1,28.7500,29.9200,1.799950
PHY_EDGE_ROW_5_Right_5,VPWR,li1,28.7500,24.4800,1.799952
PHY_EDGE_ROW_4_Right_4,VPWR,li1,28.7500,24.4800,1.799952
PHY_EDGE_ROW_3_Right_3,VPWR,li1,28.7500,19.0400,1.799959
PHY_EDGE_ROW_2_Right_2,VPWR,li1,28.7500,19.0400,1.799959
PHY_EDGE_ROW_1_Right_1,VPWR,li1,28.7500,13.6000,1.799985
PHY_EDGE_ROW_0_Right_0,VPWR,li1,28.7500,13.6000,1.799985
_49_,VPWR,li1,10.5800,29.9200,1.799939
_48_,VPWR,li1,24.3800,19.0400,1.799959
_47_,VPWR,li1,22.5400,29.9200,1.799951
_46_,VPWR,li1,24.3800,24.4800,1.799952
_45_,VPWR,li1,11.2700,24.4800,1.799949
_44_,VPWR,li1,12.6500,24.4800,1.799949
_43_,VPWR,li1,14.4900,24.4800,1.799950
_42_,VPWR,li1,12.6500,19.0400,1.799958
_41_,VPWR,li1,10.1200,19.0400,1.799958
_40_,VPWR,li1,17.4800,19.0400,1.799959
_39_,VPWR,li1,19.7800,19.0400,1.799960
_38_,VPWR,li1,16.7900,13.6000,1.799985
_37_,VPWR,li1,13.1100,13.6000,1.799984
_36_,VPWR,li1,14.7200,19.0400,1.799959
_35_,VPWR,li1,19.7800,13.6000,1.799986
_34_,VPWR,li1,15.4100,24.4800,1.799950
_33_,VPWR,li1,17.4800,19.0400,1.799959
_32_,VPWR,li1,16.3300,13.6000,1.799985
_31_,VPWR,li1,10.8100,19.0400,1.799958
_30_,VPWR,li1,12.6500,19.0400,1.799958
_29_,VPWR,li1,9.8900,13.6000,1.799984
_28_,VPWR,li1,15.1800,19.0400,1.799959
_27_,VPWR,li1,17.4800,24.4800,1.799951
_26_,VPWR,li1,14.0300,29.9200,1.799943
_25_,VPWR,li1,8.0500,19.0400,1.799957
_24_,VPWR,li1,8.9700,24.4800,1.799949
_23_,VPWR,li1,14.4900,13.6000,1.799985
