net,length_um
net4,44.79µm
net5,44.5µm
net6,34.875µm
_06_,29.6µm
clknet_1_1__leaf_clk,26.58µm
net1,23.77µm
_07_,23.14µm
_04_,21.72µm
_05_,19.62µm
clknet_0_clk,18.36µm
clknet_1_0__leaf_clk,18.36µm
clk,17.59µm
net3,15.32µm
_01_,13.215µm
net2,12.88µm
net7,12.18µm
counter[1],11.87µm
enable,10.39µm
counter[2],10.31µm
_15_,10.04µm
counter[0],9.83µm
reset,9.51µm
_10_,8.66µm
_02_,7.58µm
up_down,6.33µm
_22_,6.3µm
_11_,6.14µm
_20_,5.6µm
counter[3],5.41µm
_12_,5.34µm
_19_,5.235µm
net8,5.16µm
_03_,4.46µm
_14_,4.02µm
net10,3.18µm
net9,2.96µm
_09_,2.84µm
_16_,2.3µm
_17_,2.16µm
_21_,2.16µm
_00_,1.865µm
net11,1.685µm
_13_,0.92µm
_08_,0.8µm
_18_,0.8µm
