Metric,Value
design__instance__count,65
design__instance__area,357.843
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 37.745 48.465
design__core__bbox,5.52 10.88 32.2 35.36
design__io,25
design__die__area,1829.31
design__core__area,653.126
design__instance__count__stdcell,65
design__instance__area__stdcell,357.843
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.547893
design__instance__utilization__stdcell,0.547893
design__instance__count__class:multi_input_combinational_cell,40
flow__warnings__count,14
flow__errors__count,0
floorplan__design__io,25
design__io__hpwl,448189
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,707.228
design__violations,0
design__instance__count__class:timing_repair_buffer,25
antenna__violating__nets,0
antenna__violating__pins,0
route__net,81
route__net__special,2
route__drc_errors__iter:1,5
route__wirelength__iter:1,662
route__drc_errors__iter:2,2
route__wirelength__iter:2,666
route__drc_errors__iter:3,2
route__wirelength__iter:3,663
route__drc_errors__iter:4,0
route__wirelength__iter:4,666
route__drc_errors,0
route__wirelength,666
route__vias,362
route__vias__singlecut,362
route__vias__multicut,0
